,ride_id,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_size,ride_dt,duration_time
0,0,12 minutes,81,Berry St at 4th St,323,Broadway at Kearny,5480,2,1959,Male,29,2022-03-13,12
1,1,24 minutes,3,Powell St BART Station (Market St at 4th St),118,Eureka Valley Recreation Center,5193,2,1965,Male,26,2022-08-26,24
2,2,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,3652,3,1993,Male,29,2022-06-11,8
3,3,4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,1883,1,1979,Male,26,2021-12-08,4
4,4,11 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4626,2,1994,Male,26,2022-07-03,11
5,5,10 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3279,2,1979,Male,29,2022-01-09,10
6,6,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),107,17th St at Dolores St,1035,2,1981,Male,29,2022-04-28,16
7,7,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,5286,2,1991,Male,27,2021-12-07,9
8,8,21 minutes,81,Berry St at 4th St,16,Steuart St at Market St,2124,1,1982,Female,27,2022-12-17,21
9,9,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),62,Victoria Manalo Draves Park,333,1,1994,Male,27,2021-12-13,5
10,10,19 minutes,81,Berry St at 4th St,16,Steuart St at Market St,1883,2,1983,Male,26,2022-02-13,19
11,11,6 minutes,3,Powell St BART Station (Market St at 4th St),26,1st St at Folsom St,5331,1,1990,Male,27,2021-12-04,6
12,12,7 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,1863,3,1998,Male,29,2022-05-12,7
13,13,187 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),355,23rd St at Tennessee St,674,2,1987,Female,27,2021-12-04,187
14,14,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),74,Laguna St at Hayes St,5487,2,1997,Male,27,2021-12-08,13
15,15,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,1606,2,1995,Male,27,2022-05-08,4
16,16,32 minutes,22,Howard St at Beale St,122,19th St at Mission St,3661,3,1990,Male,26,2022-08-26,32
17,17,5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,4969,3,1964,Male,29,2022-04-05,5
18,18,16 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5000,2,2000,Female,29,2022-11-02,16
19,19,17 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5230,2,2000,Male,27,2022-08-22,17
20,20,16 minutes,16,Steuart St at Market St,58,Market St at 10th St,2033,3,1998,Male,26,2022-10-23,16
21,21,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),364,China Basin St at 3rd St,5055,3,1986,Male,29,2022-09-22,11
22,22,10 minutes,5,Powell St BART Station (Market St at 5th St),356,Valencia St at Clinton Park,2165,2,1982,Male,26,2022-07-28,10
23,23,3 minutes,16,Steuart St at Market St,20,Mechanics Monument Plaza (Market St at Bush St),2403,2,1992,Male,26,2022-02-21,3
24,24,11 minutes,3,Powell St BART Station (Market St at 4th St),109,17th St at Valencia St,4980,1,1980,Male,27,2022-04-08,11
25,25,3 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,2409,3,1990,Female,27,2022-08-23,3
26,26,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),370,Jones St at Post St,2852,3,1994,Male,26,2022-04-26,12
27,27,7 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,2459,2,1977,Male,27,2022-09-10,7
28,28,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5193,3,1990,Male,27,2022-07-01,5
29,29,6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,903,1,1990,Male,26,2022-11-02,6
30,30,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,5218,1,1988,Female,27,2022-08-01,6
31,31,9 minutes,5,Powell St BART Station (Market St at 5th St),15,San Francisco Ferry Building (Harry Bridges Plaza),2177,3,1990,Male,29,2022-04-18,9
32,32,12 minutes,3,Powell St BART Station (Market St at 4th St),102,Irwin St at 8th St,5130,3,1980,Male,27,2022-05-23,12
33,33,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,3397,3,1979,Male,26,2022-12-21,16
34,34,11 minutes,81,Berry St at 4th St,356,Valencia St at Clinton Park,5504,2,1994,Male,27,2022-06-08,11
35,35,11 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,531,2,1988,Male,29,2022-02-08,11
36,36,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,3385,2,1990,Female,26,2022-02-23,4
